created,id,text,screenName,retweetCount
2017-05-26T17:46:31Z,868161439734870016,I loved my Addy doll. I lost her in the storm. And all my books. :( https://t.co/TwtvrLuq1H,dawni3marie,0
2017-05-26T17:11:59Z,868152747035684864,Nugget died in the storm last night :(,bladedvixen,0
2017-05-26T16:41:14Z,868145009677271040,@thestormandsky @betito10034 Obviously it was an exaggeration. Awesome storm though!! Unfortunately we went South tâ€¦ https://t.co/W4QUjBytXK,TeamSuckZone,0
2017-05-26T15:31:17Z,868127409027112960,morning i fell asleep so late bc there was a thunder storm last night &amp; i was too scared to sleep :(((,seductiveyug,0
2017-05-26T14:22:12Z,868110021514711042,"@thoughtxriot I think it's just a tough weekend for anything remotely fair. Storm is all over, and the devoted druiâ€¦ https://t.co/7myXpqoX2a",Steinfeld91,0
2017-05-26T12:16:16Z,868078329148170241,"Nottingham_Post : The sun isn't going to last :(
https://t.co/waF83ZBOIm (via Twitter https://t.co/1j1QWTbhWY) https://t.co/vVPDkU2CJz",NottinghamPost,0
2017-05-26T12:13:00Z,868077507748257792,"The sun isn't going to last :(
https://t.co/BtaXJxR2Zy",Nottingham_Post,1
2017-05-26T11:21:42Z,868064597709905922,There is a giant storm outside :( RIP weekend electricity,FSTyph00n21,0
2017-05-26T11:19:13Z,868063970380451842,@funder SIGH - but DB don't HAVE to hand over docs and none of @GOP signed on to letter :-( I feel we will never geâ€¦ https://t.co/SsViUvV531,KeepResistng,1
2017-05-26T06:07:47Z,867985599260643328,"@starrymoonbeams @namjooncocoa Yes! Hopefully they do well, and it doesn't turn into a storm, I REALLY don't mean fâ€¦ https://t.co/GM4Qeoy59M",yungtaeil,0
2017-05-26T04:59:27Z,867968402802876418,@TriCom_Storm why u don't fuck with me no more? We used to be mad cool :(,FatGibbs,0
2017-05-26T04:11:40Z,867956374403207169,"You are the fire on my apartment floor. Sixteen stories, I'd rather burn than fall. It isn't fate that took us all by storm.. :(",Ai640x,0
2017-05-26T03:43:59Z,867949410751102977,my therapist saw on the news about the storm that hit my town and emailed me to make sure me and my family were okay she's so sweet :(,stubbornghosts,0
2017-05-26T03:08:28Z,867940471687008257,Why does there have to be a storm now? :(,Scherzoe_,0
2017-05-26T02:20:26Z,867928383841345536,"Sorry guys, no stream tonight. Between the storm, kids going crazy, and computer still updating, I won't be on tonight :( @mobcrush",TheRealCabol,0
2017-05-26T01:42:51Z,867918923320049664,its raining and its like Almost at the point at which itd be considered a storm and sunny is shaking SO MUCH im :((((((,Sarkenoth,0
2017-05-26T01:30:48Z,867915892348379136,I don't like the storm :((,simplyyyalexa,0
2017-05-26T01:08:08Z,867910188644302849,The ice storm we had at the end of April sadly killed off a lot of perennials here :( #growingnorth,growingnorth,0
2017-05-25T23:33:21Z,867886336119894016,"@spacecommunism Me either. I am broken and a burden. No room for me in healing. #mentalillnessfeelslike shit, honesâ€¦ https://t.co/5ajJqmZ7WH",disabled_storm,0
2017-05-25T22:09:43Z,867865286363549698,"i am truly heart broken rn :( to me ""Storm"" isn't a nickname anymore",storm_cierra,0
2017-05-25T21:59:51Z,867862803616550913,There was a huge storm and the event was rescheduled for 6/14 :( https://t.co/XwSJqiDxfT,alexarietemusic,0
2017-05-25T19:07:51Z,867819517900095488,@Sparkalisha Eeesh :( One day. One day you'll get the perfect storm and be able to tell one of those fuckers exactly what you think of 'em,TheRharding,0
2017-05-25T18:32:55Z,867810727117115393,I want to go to the zoo or a museum while I'm here &amp; since a storm is nearing I guess the zoo is out of the question for today :(,LeenaLoveanu,0
2017-05-25T15:53:10Z,867770527623938048,That bloody storm set my vertigo off :(,MRoyal_TPower,0
2017-05-25T14:25:47Z,867748534191362048,"@suzusaur :( I'm telling you, I'm convinced my acting up muscles are weather related. The whole bum knee thing predâ€¦ https://t.co/TgDzXQZ3RM",MollyPBearman,0
2017-05-25T13:56:46Z,867741234860662785,"but really, i would be more worried if you didn't have any emotions kyung :( life generally sucks but the rainbow will come after the storm!",lmtyoungk,1
2017-05-25T12:50:45Z,867724617691136000,Sorry folks had to cancel the stream. There is a lightning storm alert :( and it's approaching my location fast..,Frici_,0
2017-05-25T12:37:47Z,867721358435897348,@MissBiankadonk Oh man was this the very end? I think my power went out 10 minutes or so before you quit streamingâ€¦ https://t.co/N5sk5HbgQG,CrazyCanuck84,0
2017-05-25T06:46:14Z,867632886702161921,@sunweandy Lol :( looks like there been a storm  my keypad what i was write is a huge mess,Grls_Day_Youra,0
2017-05-25T06:21:35Z,867626680919015424,@Aroze_Storm noooooooooooooooooooo I want ur account :(,oKunadaze,0
2017-05-25T04:01:46Z,867591496882454528,this is what I don't like when its raining the storm is so loud i feel like its so near like I am about to die :( im scared.,pcstelyx,0
2017-05-25T03:30:31Z,867583630712774657,"@stainlessstyled :(
Our storm turned north, then headed back west...the radar showed a weird hurricane like wind stâ€¦ https://t.co/3ROz6zm7vp",janekorvemaker,0
2017-05-25T02:26:27Z,867567509527973893,"@risyiana @editor_in_chic Prost is the rather diluted one, 1945 reminds me a bit of the now defunct Storm :( Now I'â€¦ https://t.co/Ay8CLdW7sj",trialogy,0
2017-05-25T00:12:24Z,867533773478522881,@wunderground I can't find the storm track function on the web based radars. :-( Plis help! https://t.co/qwF8LqpuBh,OhGoSquid,0
2017-05-25T00:11:25Z,867533527222427648,@Galactic_Storm :( I missed the picture,ThePugCableHQ,0
2017-05-24T23:45:43Z,867527057588322304,The storm last night fried my old power box :(,Kenrocks2287,0
2017-05-24T23:10:56Z,867518307594850304,"@okiequakey @spiceypope :( Really sorry again for the bad experience. It was a perfect storm of issues, and I'm soâ€¦ https://t.co/WYYM4wBVv9",GouletPens,0
2017-05-24T21:44:59Z,867496677007032320,"not feeling so hot tonight, dang ol storm got me fucked up :(",GPM_ebooks,0
